tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
206244624,5529676119,2687778,4510368,4,0
206245814,5529676325,2687790,4510371,6,0
206248326,5529676943,2687821,4510380,7,0
206249360,5529677149,2687830,4510383,7,0
206250789,5529682138,2687850,4510397,6,0
206254444,5529690123,2687881,4510420,24,0
206256146,5529690329,2687893,4510423,108,0
206258185,5529691217,2687912,4510436,5,0
206259975,5529695444,2687925,4510457,9,0
206260993,5529696684,2687940,4510464,8,0
206261851,5529697526,2687951,4510474,27,0
206262522,5529698948,2687960,4510483,5,0
206263358,5529699751,2687971,4510493,11,0
206264552,5529700313,2687977,4510500,15,0
206265855,5529702834,2687990,4510515,11,0
206267687,5529705040,2688005,4510524,15,0
206268910,5529705246,2688017,4510527,27,0
206269540,5529706312,2688023,4510532,13,0
206270019,5529708966,2688030,4510549,7,0
206271822,5529711945,2688052,4510568,10,0
206277344,5529723470,2688090,4510600,7,0
206278798,5529724536,2688101,4510605,7,0
206279575,5529727329,2688110,4510624,4,0
206280424,5529728395,2688116,4510629,10,0
206281168,5529730216,2688126,4510643,9,0
206281499,5529733246,2688131,4510656,27,0
206284878,5529738525,2688177,4510690,9,0
206286288,5529741705,2688195,4510712,4,0
206290207,5529746936,2688241,4510743,6,0
206291163,5529747142,2688252,4510746,34,0
206291927,5529748208,2688262,4510751,8,0
206292609,5529751118,2688271,4510771,7,0
206293817,5529752915,2688287,4510784,16,0
206294887,5529754146,2688303,4510791,7,0
206295743,5529754764,2688315,4510799,6,0
206296074,5529755903,2688320,4510805,132,0
206296605,5529756484,2688327,4510812,5,0
206296926,5529756827,2688332,4510817,5,0
206297449,5529759580,2688339,4510834,16,0
206298683,5529761712,2688356,4510844,9,0
206299109,5529761918,2688362,4510847,7,0
206299676,5529765454,2688370,4510867,7,0
206300366,5529768027,2688380,4510882,6,0
206302242,5529771761,2688398,4510904,7,0
206303269,5529772827,2688406,4510909,7,0
206304097,5529776393,2688418,4510930,7,0
206306942,5529779936,2688454,4510953,14,0
206308595,5529782848,2688470,4510972,9,0
206310610,5529784980,2688483,4510982,7,0
206311170,5529785186,2688488,4510985,5,0
206311716,5529788894,2688493,4511004,5,0
206312401,5529790461,2688502,4511015,14,0
206312651,5529791621,2688506,4511021,5,0
206314445,5529796300,2688526,4511048,4,0
206323613,5529813067,2688572,4511096,19,0
206329431,5529815622,2688591,4511113,3,0
206338808,5529832186,2688634,4511154,12,0
206357578,5529850116,2688693,4511188,12,0
206364076,5529851434,2688715,4511197,15,0
206373176,5529852628,2688735,4511214,0,0
206379802,5529857692,2688769,4511229,5,0
206380833,5529857898,2688777,4511232,32,0
206382949,5529861859,2688789,4511245,5,0
206390928,5529869669,2688821,4511276,5,0
206393367,5529870735,2688829,4511281,8,0
206395993,5529870941,2688840,4511284,8,0
206396535,5529871081,2688845,4511286,5,0
206397771,5529874114,2688852,4511305,5,0
206399732,5529875260,2688868,4511311,29,0
206401570,5529876555,2688892,4511319,9,0
206404307,5529883011,2688915,4511341,5,0
206406168,5529884497,2688923,4511347,16,0
206409143,5529885913,2688943,4511357,3,0
206410458,5529889439,2688954,4511378,130,0
206410805,5529891501,2688960,4511387,7,0
206411581,5529891707,2688966,4511390,7,0
206412171,5529892896,2688976,4511397,11,0
206412568,5529894510,2688982,4511410,108,0
206413676,5529896760,2688992,4511419,13,0
206414546,5529897826,2688999,4511424,4,0
206416028,5529898098,2689013,4511428,7,0
206417456,5529902310,2689029,4511453,26,0
206418253,5529903411,2689038,4511458,10,0
206419421,5529905154,2689055,4511471,4,0
206420646,5529908542,2689070,4511487,6,0
206421732,5529909608,2689086,4511492,7,0
206425989,5529910517,2689115,4511505,4,0
206429583,5529911847,2689132,4511514,10,0
206435641,5529912317,2689153,4511520,11,0
206436798,5529912523,2689160,4511523,2986,1
206442184,5529913029,2689191,4511532,10,0
206442648,5529913235,2689198,4511535,6,0
206443208,5529913441,2689205,4511538,7,0
206444061,5529915101,2689217,4511542,17,0
206445173,5529915307,2689234,4511545,11,0
206449197,5529916621,2689259,4511554,5,0
206450331,5529917009,2689275,4511560,6,0
206450751,5529917215,2689281,4511563,9,0
206451158,5529917421,2689287,4511566,11,0
206452052,5529918023,2689293,4511573,6,0
206454097,5529918229,2689302,4511576,5,0
206454439,5529918435,2689307,4511579,11,0
206455453,5529918683,2689315,4511583,35,0
206495515,5529952049,2689441,4511712,7,0
206499259,5529952514,2689456,4511717,23,0
206503673,5529952926,2689472,4511723,5,0
206504005,5529953132,2689477,4511726,27,0
206505798,5529955892,2689494,4511745,5,0
206528566,5529985416,2689539,4511804,8,0
206529098,5529986501,2689548,4511811,28,0
206529534,5529986707,2689555,4511814,6,0
206531337,5529987119,2689579,4511820,6,0
206532142,5529989301,2689591,4511840,8,0
206589946,5530006758,2689643,4511899,7,0
206604044,5530007525,2689658,4511911,23,0
206608166,5530007731,2689669,4511914,8,0
206610405,5530007937,2689675,4511917,9,0
206614474,5530010208,2689685,4511932,13,0
206614767,5530011777,2689690,4511939,6,0
206616514,5530012843,2689696,4511944,4,0
206617209,5530015367,2689704,4511960,4,0
206618646,5530016475,2689715,4511966,5,0
206621108,5530017101,2689727,4511970,6,0
206622710,5530018287,2689749,4511977,7,0
206625232,5530019407,2689764,4511983,9,0
206625932,5530019655,2689775,4511987,4,0
206626733,5530019861,2689786,4511990,14,0
206627860,5530020719,2689801,4512000,25,0
206630068,5530024707,2689821,4512024,4,0
206631208,5530026226,2689836,4512034,4,0
206631982,5530027758,2689846,4512046,125,0
206635678,5530029882,2689868,4512056,5,0
206640695,5530035380,2689901,4512077,7,0
206641749,5530038042,2689909,4512094,7,0
206642124,5530040855,2689915,4512111,9,0
206665697,5530062740,2689965,4512163,5,0
206700229,5530085309,2690048,4512239,7,0
206719782,5530092914,2690079,4512266,11,0
206721383,5530093247,2690092,4512270,7,0
206723620,5530095212,2690115,4512286,5,0
206724689,5530096678,2690129,4512294,5,0
206767112,5530123480,2690210,4512372,5,0
206784449,5530133382,2690244,4512403,112,0
206843135,5530220035,2690480,4512619,32,0
206847261,5530222884,2690501,4512642,7,0
206869834,5530237450,2690544,4512687,12,0
206890722,5530251571,2690599,4512733,6,0
206927668,5530274571,2690681,4512814,6,0
206940083,5530282607,2690717,4512845,27,0
206948812,5530291766,2690746,4512872,9,0
206983014,5530313967,2690814,4512944,22,0
206991882,5530320443,2690839,4512965,6,0
207023908,5530337929,2690903,4513027,20,0
207060462,5530358689,2690965,4513089,7,0
207065506,5530362310,2690983,4513109,11,0
